,r2,mse,y_average
0,0.8799359913347131,57.39495301561131,9.292682926829269
1,0.6992716594593735,104.73884180648608,7.378048780487805
2,0.8374696758287298,16.59590758791367,4.012195121951219
3,0.705370050407423,9.664291759709997,2.597560975609756
4,0.2899802192834987,64.88560749484438,4.2560975609756095
5,0.03937321263576399,372.0072950988283,8.036585365853659
6,0.05133284401269733,653.2108087669959,11.25609756097561
7,0.46548447307495255,216.22536254208663,10.24390243902439
8,0.7433808103888133,158.48578268758789,11.512195121951219
9,0.7911975501789842,124.85482848004389,11.524390243902438
10,0.7677066352890891,161.24479468157435,11.597560975609756
11,0.7536630260688842,178.48282433151755,11.036585365853659
12,0.76914151115104,214.4632787860412,12.512195121951219
13,0.8443786679354873,143.79357851192898,12.402439024390244
14,0.7753975210189729,234.00425056697532,13.512195121951219
15,0.8010974228151244,202.59345647703958,13.170731707317072
16,0.8244021946223677,155.785442403722,12.731707317073171
17,0.7853879867359412,151.99650076116117,12.073170731707316
18,0.8027544368108976,134.4180111114211,11.012195121951219
19,0.8554417961808559,82.86885029294609,11.012195121951219
20,0.8784881293174704,89.35974657164478,11.646341463414634
21,0.8084189510205466,161.74056258127413,12.317073170731707
22,0.8135033857442535,108.72156287908582,10.695121951219512
23,0.7971760813202802,79.1415069673753,9.146341463414634
